Elapsed time = 0.017827 for 4 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.276615 for 4 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.004949 for 8 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.005841 for 8 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.005541 for 8 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.005712 for 8 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.046049 for 8 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.122667 for 8 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.002632 for 16 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.003076 for 16 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.004095 for 16 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.951486 for 16 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.072895 for 16 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.152657 for 16 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.001453 for 32 ranks, 1 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.001320 for 32 ranks, 2 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.055398 for 32 ranks, 4 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.032363 for 32 ranks, 8 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.070727 for 32 ranks, 16 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.150924 for 32 ranks, 32 threads, for generating 500 patterns with a pattern size of 10 
Elapsed time = 0.077455 for 1 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.111860 for 1 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.128817 for 1 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.147901 for 1 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.146231 for 1 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.191015 for 1 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.039317 for 2 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.068132 for 2 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.064878 for 2 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.067670 for 2 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.075845 for 2 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.099067 for 2 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.019881 for 4 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.034094 for 4 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.029467 for 4 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.037659 for 4 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.035422 for 4 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.695973 for 4 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.010140 for 8 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.011442 for 8 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.010485 for 8 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.015413 for 8 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.157570 for 8 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.268949 for 8 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.005317 for 16 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.005817 for 16 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.004921 for 16 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.194294 for 16 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.123464 for 16 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.298753 for 16 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.002796 for 32 ranks, 1 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.002249 for 32 ranks, 2 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.011317 for 32 ranks, 4 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.062380 for 32 ranks, 8 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.138764 for 32 ranks, 16 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.349459 for 32 ranks, 32 threads, for generating 1000 patterns with a pattern size of 10 
Elapsed time = 0.033307 for 1 ranks, 1 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.020929 for 1 ranks, 2 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.012830 for 1 ranks, 4 threads, for generating 10 patterns with a pattern size of 100 
Elapsed time = 0.009081 for 1 ranks, 8 threads, for generating 10 patterns with a pattern size of 100 
